Bimp,Bter
BIMP16779,LOC100645256
BIMP11995,LOC100646118
BIMP14673,LOC100650242
BIMP18513,
BIMP24384,LOC100650539
BIMP20411,
BIMP10859,
BIMP25277,LOC100651839
BIMP12581,LOC100647281
BIMP25733,
BIMP17893,LOC100645473
BIMP24747,LOC100645675
BIMP10416,LOC100643884
BIMP18868,LOC110119289
BIMP15304,LOC105666717
BIMP23419,
BIMP12097,LOC100645960
BIMP19693,
BIMP15947,LOC100650620
BIMP22038,LOC100649416
BIMP12343,LOC100642930
BIMP19331,
BIMP11437,LOC100646010
BIMP24021,
BIMP20527,LOC100650111
BIMP12020,LOC100646548
BIMP18657,
BIMP16014,
BIMP17588,LOC100644827
BIMP23523,
BIMP20282,
BIMP20107,LOC100648064
BIMP14491,
BIMP19803,LOC100644806
BIMP22275,LOC100649435
BIMP10918,LOC105667095
BIMP18185,LOC105666717
BIMP23685,LOC100642405
BIMP13572,
BIMP11894,
BIMP12976,LOC100642967
BIMP15069,
BIMP24913,
BIMP22393,LOC100650947
BIMP18784,LOC100648843
BIMP16280,LOC100644782
BIMP23832,
BIMP23159,LOC100644927
BIMP22381,LOC100647679
BIMP22544,LOC100649277
BIMP12727,
BIMP12969,
BIMP25569,
BIMP20014,LOC100649315
BIMP12425,
BIMP17135,
BIMP23796,LOC100651643
BIMP17573,
BIMP21088,
BIMP13071,LOC100646099
BIMP10272,LOC100649308
BIMP17982,
BIMP24550,LOC100650842
BIMP22388,LOC100643351
BIMP24363,LOC100652172
BIMP17006,LOC105667102
BIMP25208,LOC100646020
BIMP25208,LOC100643570
BIMP15072,LOC100651693
BIMP18763,LOC105666904
BIMP13957,LOC100644164
BIMP22367,LOC100647123
BIMP22389,
BIMP15670,LOC100650790
BIMP11218,
BIMP19394,LOC100644106
BIMP14428,LOC100650105
BIMP11793,
BIMP20900,
BIMP25430,LOC105666696
BIMP12949,
BIMP15363,
BIMP15123,LOC100643006
BIMP16766,LOC100650354
BIMP10495,
BIMP10681,LOC100643208
BIMP12903,LOC105667197
BIMP12903,LOC110120132
BIMP11107,LOC100651541
BIMP11798,
BIMP23118,
BIMP21817,LOC100651725
BIMP13584,LOC110119287
BIMP23858,LOC100647290
BIMP10484,LOC100643264
BIMP22319,LOC100648777
BIMP10952,
BIMP13881,LOC100650314
BIMP10671,LOC100645602
BIMP14095,LOC100645386
BIMP15377,
BIMP18236,LOC100643910
BIMP19528,LOC100643365
BIMP11068,LOC100642465
BIMP13999,
BIMP10181,
BIMP13160,LOC100642954
BIMP13160,LOC105667023
BIMP20018,
BIMP20660,LOC100644874
BIMP18769,LOC100643994
BIMP25173,
BIMP17364,LOC105666352
BIMP13610,LOC100648513
BIMP23834,
BIMP12829,LOC100648316
BIMP22241,LOC100647528
BIMP14568,
BIMP15725,LOC100649393
BIMP13208,LOC105666049
BIMP11838,LOC100649636
BIMP21772,
BIMP14265,LOC100648040
BIMP22879,LOC100649700
BIMP19221,
BIMP25648,LOC100642315
BIMP19468,LOC100649975
BIMP24279,
BIMP22416,
BIMP18735,LOC100646166
BIMP24626,
BIMP24900,
BIMP24400,
BIMP16892,LOC100651425
BIMP10490,
BIMP18108,LOC105666868
BIMP20445,LOC100645660
BIMP18256,
BIMP12729,
BIMP13637,LOC100643119
BIMP20652,LOC110120182
BIMP14882,LOC100648459
BIMP22132,LOC100647433
BIMP19719,LOC100647078
BIMP12629,
BIMP16184,LOC100643286
BIMP18041,
BIMP23593,LOC100642298
BIMP18260,
BIMP13874,
BIMP14043,
BIMP20256,LOC100652104
BIMP25870,
BIMP11176,LOC100642225
BIMP10660,LOC105666123
BIMP22874,LOC100651691
BIMP18262,
BIMP16097,
BIMP15474,
BIMP19479,LOC100648261
BIMP16818,LOC100651169
BIMP22045,
BIMP11733,LOC105667069
BIMP17230,
BIMP18280,
BIMP12915,
BIMP24999,LOC100648485
BIMP25463,
BIMP21621,LOC100642333
BIMP15114,LOC100643585
BIMP19017,
BIMP20547,
BIMP13819,LOC100647257
BIMP22691,LOC100651639
BIMP10935,LOC105667092
BIMP22829,LOC100646989
BIMP25008,
BIMP24210,
BIMP11141,LOC105666476
BIMP24204,LOC100646918
BIMP10533,LOC100651940
BIMP20756,
BIMP23564,LOC100650300
BIMP10618,LOC100645104
BIMP25407,LOC100650814
BIMP20184,
BIMP24590,
BIMP12040,
BIMP19758,LOC100643826
BIMP15422,LOC105666097
BIMP14908,LOC100642302
BIMP19475,LOC100648034
BIMP11294,
BIMP25691,LOC100648566
BIMP16850,LOC100649278
BIMP10703,LOC100647862
BIMP23725,LOC100645006
BIMP21836,LOC100642379
BIMP14367,LOC100646327
BIMP23921,
BIMP13251,LOC100647932
BIMP22071,LOC100648599
BIMP21654,
BIMP20734,LOC100645120
BIMP13352,
BIMP10277,LOC100642581
BIMP18714,LOC100645828
BIMP15492,LOC100643654
BIMP16486,
BIMP15301,
BIMP23828,
BIMP21907,LOC100650973
BIMP17025,LOC100643477
BIMP23712,LOC100644486
BIMP21217,LOC100647269
BIMP17598,
BIMP17463,LOC100648224
BIMP13141,LOC100643191
BIMP11855,
BIMP15067,
BIMP13928,
BIMP16698,LOC100647350
BIMP14119,LOC100649907
BIMP22855,LOC100646153
BIMP10690,LOC100643334
BIMP10391,LOC100643115
BIMP16408,LOC100650917
BIMP19532,
BIMP25527,LOC100644431
BIMP20928,
BIMP24940,
BIMP25241,LOC100643144
BIMP25241,LOC100650107
BIMP10763,LOC100642966
BIMP18224,LOC100646042
BIMP10500,LOC100645474
BIMP13171,LOC110119414
BIMP15209,LOC100650060
BIMP14013,
BIMP13445,LOC100646091
BIMP22120,LOC100646239
BIMP14037,
BIMP18920,LOC100647180
BIMP24028,
BIMP17915,LOC100650873
BIMP14180,
BIMP21305,LOC100643729
BIMP15791,
BIMP19530,LOC100644965
BIMP15465,LOC100648301
BIMP17444,LOC100650537
BIMP24758,LOC100648472
BIMP19278,LOC100643816
BIMP24314,LOC100650784
BIMP19960,
BIMP15860,LOC100645528
BIMP17939,LOC105666696
BIMP18310,
BIMP24872,
BIMP25730,
BIMP23831,LOC100647300
BIMP17100,
BIMP11807,
BIMP24920,LOC100645296
BIMP22220,LOC100649952
BIMP18626,LOC105666509
BIMP13743,
BIMP10437,LOC100644368
BIMP10536,LOC100651228
BIMP14940,LOC100646361
BIMP19178,LOC100647748
BIMP15020,
BIMP21415,LOC100650062
BIMP14097,LOC100646007
BIMP23930,LOC100649673
BIMP11499,LOC100645652
BIMP19705,LOC100652136
BIMP23738,LOC100648865
BIMP14145,
BIMP24792,
BIMP23141,
BIMP13498,LOC100642190
BIMP13469,LOC100642911
BIMP18034,
BIMP15992,LOC100648074
BIMP25541,LOC110120185
BIMP24020,
BIMP18866,LOC105665745
BIMP11767,
BIMP11581,LOC100649454
BIMP12203,
BIMP24298,
BIMP22174,LOC100644872
BIMP24910,LOC100643981
BIMP19896,
BIMP15112,LOC100652050
BIMP17631,LOC100652019
BIMP13282,LOC100644809
BIMP22580,LOC105666144
BIMP24270,LOC105666382
BIMP25815,LOC100644998
BIMP13323,LOC100646509
BIMP21861,LOC100648604
BIMP12655,
BIMP23652,
BIMP18021,LOC105665828
BIMP14975,LOC100646603
BIMP24789,
BIMP12766,
BIMP23138,LOC100645125
BIMP24074,LOC100642665
BIMP16118,
BIMP16053,
BIMP12610,LOC100642906
BIMP19777,LOC100642584
BIMP25700,LOC100648105
BIMP11038,LOC105666020
BIMP23473,LOC100648295
BIMP10513,LOC100643143
BIMP19743,LOC100646199
BIMP15775,
BIMP19488,
BIMP18873,LOC100646294
BIMP19692,
BIMP20291,LOC100646252
BIMP19633,
BIMP25618,LOC100646892
BIMP24340,LOC100651698
BIMP21003,
BIMP24315,LOC100651017
BIMP14447,
BIMP24022,
BIMP24184,LOC105666221
BIMP10808,LOC100646452
BIMP21691,
BIMP10231,LOC100647473
BIMP13014,
BIMP16891,LOC100651180
BIMP21499,LOC100650258
BIMP21333,LOC100642200
BIMP21802,LOC100647411
BIMP14576,
BIMP23616,LOC100644145
BIMP17157,
BIMP20758,LOC105666776
BIMP20028,LOC100649292
BIMP25084,LOC100651625
BIMP19161,
BIMP16361,
BIMP10492,LOC105667177
BIMP25035,LOC100652062
BIMP21617,LOC100642639
BIMP25498,
BIMP23608,LOC100652171
BIMP20421,LOC100648157
BIMP22668,LOC100650321
BIMP15227,LOC100644828
BIMP19378,
BIMP17657,LOC110119999
BIMP16433,
BIMP15655,LOC100647753
BIMP19232,LOC105666564
BIMP14768,
BIMP19989,
BIMP15193,LOC100649752
BIMP18798,LOC100646643
BIMP18638,LOC100648232
BIMP18229,LOC100648172
BIMP11203,LOC100649874
BIMP23614,
BIMP11875,
BIMP17750,
BIMP12948,
BIMP10413,LOC100642202
BIMP12546,
BIMP10400,LOC100642446
BIMP12923,
BIMP22252,LOC100645039
BIMP15334,
BIMP12582,LOC100651707
BIMP21625,
BIMP21769,
BIMP23298,
BIMP16603,LOC100646421
BIMP21521,LOC100650279
BIMP16645,LOC105666696
BIMP22075,LOC105665951
BIMP22075,LOC105666781
BIMP14716,LOC100651596
BIMP21954,
BIMP25038,LOC100645162
BIMP11443,LOC105666717
BIMP23889,LOC100651554
BIMP12162,
BIMP11842,LOC100651705
BIMP13418,
BIMP15166,LOC105666754
BIMP10025,
BIMP22995,LOC100644679
BIMP10622,LOC100645733
BIMP21564,LOC100649264
BIMP23657,LOC100643698
BIMP22771,LOC100649914
BIMP25278,LOC105666030
BIMP22708,LOC100644129
BIMP14825,LOC100642820
BIMP24151,
BIMP19821,LOC100650245
BIMP25375,LOC100649384
BIMP19760,LOC100644308
BIMP13704,LOC100648826
BIMP18673,
BIMP14402,LOC100645664
BIMP24978,LOC110119773
BIMP23905,LOC100648738
BIMP17741,
BIMP19915,
BIMP17034,LOC100651749
BIMP23279,
BIMP18795,LOC100647324
BIMP19515,LOC100647083
BIMP21814,
BIMP17716,
BIMP10913,
BIMP12845,LOC100651480
BIMP12507,
BIMP18755,LOC110119215
BIMP21447,LOC100650503
BIMP23668,
BIMP20754,
BIMP22882,LOC100650246
BIMP25221,LOC100644288
BIMP12400,LOC100643690
BIMP12573,
BIMP17895,
BIMP17486,
BIMP23258,
BIMP16114,
BIMP11684,LOC100645613
BIMP22355,LOC100642542
BIMP25192,LOC100648393
BIMP16696,
BIMP12171,
BIMP13818,LOC100647376
BIMP13482,LOC100650629
BIMP19872,
BIMP22008,
BIMP13465,LOC100648733
BIMP11883,
BIMP16831,
BIMP18600,LOC100647087
BIMP25005,LOC100645734
BIMP10395,
BIMP17074,LOC100644459
BIMP19566,LOC100648440
BIMP10776,LOC100645254
BIMP18105,LOC100648926
BIMP20587,LOC100644569
BIMP10048,
BIMP17061,
BIMP18314,
BIMP19220,
BIMP12433,LOC100647182
BIMP20523,LOC100642952
BIMP10946,LOC100649047
BIMP14195,LOC100651650
BIMP14244,
BIMP10275,LOC100645172
BIMP22074,LOC100643765
BIMP22074,LOC100648538
BIMP13110,LOC100642712
BIMP22723,LOC100646585
BIMP11583,LOC100642759
BIMP24974,LOC100631072
BIMP14782,LOC100646781
BIMP24811,LOC100645572
BIMP22105,
BIMP21514,LOC100647260
BIMP25164,
BIMP23206,
BIMP21686,LOC105667021
BIMP21686,LOC100650053
BIMP21686,LOC110119823
BIMP10254,LOC100643869
BIMP17664,
BIMP19363,
BIMP18059,LOC105665704
BIMP19810,LOC100647100
BIMP21540,LOC100643411
BIMP21439,LOC100645271
BIMP23432,LOC100644904
BIMP12469,LOC100645371
BIMP19209,
BIMP25095,
BIMP15225,LOC100651859
BIMP12265,LOC100651490
BIMP24406,
BIMP18019,
BIMP14617,
BIMP21222,LOC100648643
BIMP21030,LOC100648555
BIMP17024,LOC100643844
BIMP16247,LOC105665971
BIMP18435,
BIMP12281,LOC100644298
BIMP17276,LOC100646287
BIMP14470,LOC100642378
BIMP15631,LOC100643097
BIMP10655,LOC100647698
BIMP12703,LOC100647604
BIMP14041,
BIMP18651,LOC100645698
BIMP12193,
BIMP16173,LOC100644761
BIMP13638,LOC100642368
BIMP18501,LOC100650934
BIMP19969,LOC100648119
BIMP20492,LOC100643348
BIMP14328,LOC100652146
BIMP22318,LOC100651065
BIMP21054,LOC100652115
BIMP22181,LOC100647009
BIMP13708,
BIMP12427,LOC110119316
BIMP14645,LOC100643408
BIMP17272,LOC100644597
BIMP16191,LOC100642454
BIMP23241,LOC100648625
BIMP23688,LOC100651807
BIMP10258,LOC100646752
BIMP10153,LOC100647613
BIMP13611,LOC100648164
BIMP13571,LOC100648663
BIMP10599,LOC100650864
BIMP17608,
BIMP15708,LOC100643863
BIMP11191,
BIMP12558,LOC105667033
BIMP12558,LOC105666270
BIMP22193,LOC100649794
BIMP10097,
BIMP12880,
BIMP20033,LOC100649588
BIMP14770,
BIMP21070,
BIMP22706,LOC105665849
BIMP23573,LOC100645097
BIMP14118,LOC110119414
BIMP17232,LOC100648795
BIMP10667,LOC100646185
BIMP20300,LOC100646975
BIMP24862,LOC100646036
BIMP10056,LOC100647892
BIMP20595,LOC100643171
BIMP10058,LOC100643074
BIMP10058,LOC100643193
BIMP11598,LOC100645319
BIMP19113,LOC100642896
BIMP19880,LOC110120265
BIMP10636,LOC100643050
BIMP16342,LOC100645027
BIMP11887,
BIMP16150,
BIMP25345,LOC100650000
BIMP20134,
BIMP18339,LOC100642464
BIMP20473,LOC100649755
BIMP18287,
BIMP13751,
BIMP21843,LOC100648951
BIMP19119,LOC100648529
BIMP12294,LOC100647978
BIMP24485,LOC100652227
BIMP25611,LOC100646575
BIMP23013,
BIMP19060,LOC100651467
BIMP19060,LOC100646728
BIMP19060,LOC100646490
BIMP19060,LOC100646609
BIMP19060,LOC100646849
BIMP20468,
BIMP17466,LOC110119803
BIMP20486,LOC100651306
BIMP22790,
BIMP22537,LOC100648464
BIMP11841,
BIMP19627,LOC100642717
BIMP23290,LOC100642484
BIMP15805,
BIMP12579,
BIMP19977,LOC100642909
BIMP18586,LOC105666696
BIMP14535,LOC100644953
BIMP21948,
BIMP23089,LOC100646907
BIMP18217,LOC100645609
BIMP23502,LOC100643860
BIMP24440,LOC100648051
BIMP14012,
BIMP22433,LOC100645560
BIMP17116,
BIMP12518,LOC100642563
BIMP11469,
BIMP15662,LOC100649274
BIMP11356,
BIMP12540,LOC100643319
BIMP12113,LOC100645538
BIMP24805,
BIMP10839,LOC110120265
BIMP21346,LOC100650147
BIMP19053,LOC100648247
BIMP16111,
BIMP18995,
BIMP22609,LOC100650725
BIMP22465,LOC110119420
BIMP21138,LOC105666177
BIMP11976,LOC100642576
BIMP10862,
BIMP13586,LOC100651368
BIMP15922,
BIMP19043,
BIMP23342,
BIMP10531,LOC100642473
BIMP23792,LOC100651042
BIMP20617,LOC100649851
BIMP16244,LOC100642638
BIMP17008,LOC100644242
BIMP24079,
BIMP13770,LOC100645153
BIMP19944,
BIMP11024,LOC105667040
BIMP13452,LOC100644628
BIMP19848,LOC105666285
BIMP17266,LOC100643114
BIMP21577,LOC100643534
BIMP15648,
BIMP14327,LOC100642984
BIMP23958,LOC100648086
BIMP19476,
BIMP14839,LOC100650014
BIMP22599,LOC100643309
BIMP24472,LOC100650721
BIMP13460,LOC100642790
BIMP12951,
BIMP21938,
BIMP22052,LOC110119541
BIMP23005,LOC100642962
BIMP22003,
BIMP18151,
BIMP13124,LOC100646942
BIMP20550,
BIMP25171,
BIMP19900,
BIMP23431,LOC100645023
BIMP20330,
BIMP11863,
BIMP13964,
BIMP16684,
BIMP21895,LOC100648761
BIMP11358,
BIMP20674,
BIMP17383,LOC100651968
BIMP23191,LOC100648597
BIMP24376,LOC100652327
BIMP10575,LOC100648887
BIMP15042,LOC100647906
BIMP20373,LOC100647408
BIMP10546,LOC100648773
BIMP18195,LOC100650106
BIMP15856,LOC100645204
BIMP22743,LOC100651351
BIMP22743,LOC105665855
BIMP13366,LOC105666243
BIMP16043,
BIMP22365,LOC100645223
BIMP22331,
BIMP24716,LOC100648633
BIMP18760,
BIMP17080,
BIMP17216,LOC100642292
BIMP25433,
BIMP20829,LOC100649691
BIMP22361,LOC100649192
BIMP23088,LOC105665862
BIMP18528,LOC100643578
BIMP22055,LOC100648252
BIMP16545,LOC100644740
BIMP16303,LOC105666537
BIMP22714,LOC100645324
BIMP24362,
BIMP18225,LOC100648147
BIMP24461,LOC110119243
BIMP17579,
BIMP14743,LOC100645948
BIMP14652,LOC100651719
BIMP12466,LOC100644520
BIMP20992,
BIMP21019,LOC100644327
BIMP20643,LOC100642935
BIMP22808,LOC105666922
BIMP14628,LOC105666770
BIMP14445,LOC105666696
BIMP17714,
BIMP24382,
BIMP24861,LOC100648181
BIMP13939,LOC100644633
BIMP12053,LOC100644695
BIMP10936,LOC100647764
BIMP24274,
BIMP10795,LOC100650653
BIMP20821,LOC100650154
BIMP18184,
BIMP11818,LOC100649710
BIMP15364,LOC110120265
BIMP20147,
BIMP17987,
BIMP20844,LOC105665957
BIMP25349,LOC100646112
BIMP23143,LOC100648165
BIMP16917,LOC100651632
BIMP12877,
BIMP14165,
BIMP14997,LOC100651618
BIMP11950,LOC100651000
BIMP20477,LOC100648922
BIMP20226,LOC105665950
BIMP24126,LOC105666230
BIMP21458,LOC100648073
BIMP22023,LOC100647303
BIMP18872,LOC100646178
BIMP10378,LOC100650604
BIMP17528,LOC100645060
BIMP23050,LOC100651444
BIMP14802,
BIMP24539,LOC100651518
BIMP25283,LOC100649846
BIMP19713,LOC100645847
BIMP15461,LOC110119994
BIMP20989,
BIMP20535,LOC100648851
BIMP24588,
BIMP24905,LOC100642859
BIMP24017,
BIMP15984,LOC105666676
BIMP25150,LOC110119414
BIMP19841,
BIMP15743,
BIMP13541,
BIMP18840,LOC105665756
BIMP25011,LOC105666717
BIMP15966,LOC100648592
BIMP22287,LOC100646695
BIMP11700,LOC100643227
BIMP21705,
BIMP19121,LOC100648293
BIMP17270,LOC100644124
BIMP12756,LOC100649475
BIMP12012,LOC100648217
BIMP22373,
BIMP13416,LOC100647954
BIMP15691,LOC100645778
BIMP15691,LOC105666965
BIMP23553,LOC100650659
BIMP14419,LOC100648497
BIMP18455,LOC100651694
BIMP10721,LOC105666113
BIMP13149,LOC100643192
BIMP11344,
BIMP17821,LOC100644843
BIMP24930,
BIMP18466,
BIMP13528,
BIMP14894,LOC100643465
BIMP24724,LOC100645793
BIMP14523,LOC100644952
BIMP13786,LOC100649523
BIMP14027,
BIMP13165,LOC100643882
BIMP14058,LOC100646933
BIMP13233,LOC100648680
BIMP16796,LOC100650692
BIMP11382,
BIMP24307,LOC100650835
BIMP11931,LOC100643761
BIMP18509,
BIMP11470,LOC100642427
BIMP15757,LOC100642707
BIMP10276,
BIMP11316,LOC100650308
BIMP24266,LOC100651189
BIMP21939,
BIMP18744,LOC100646377
BIMP16999,LOC100648426
BIMP23149,LOC100648943
BIMP23435,
BIMP21098,LOC100644067
BIMP11409,LOC105665718
BIMP21641,LOC100651999
BIMP10117,LOC100642510
BIMP14623,LOC100645897
BIMP15921,
BIMP25514,LOC100647605
BIMP10156,
BIMP14769,
BIMP17326,LOC100649059
BIMP20254,LOC100643031
BIMP15086,LOC100643129
BIMP15117,LOC100650370
BIMP19695,LOC100643342
BIMP13426,LOC100644472
BIMP18998,
BIMP14723,
BIMP21433,LOC100651508
BIMP19285,
BIMP18319,
BIMP21971,
BIMP13267,LOC100650327
BIMP17802,LOC100645942
BIMP25624,LOC100645667
BIMP17691,
BIMP13884,LOC100651119
BIMP19750,LOC100650218
BIMP19047,
BIMP21407,
BIMP12515,LOC100642685
BIMP11379,
BIMP25289,LOC100642763
BIMP12513,LOC100643688
BIMP13145,LOC100652310
BIMP22136,LOC100648764
BIMP22610,LOC100651200
BIMP14663,LOC100649380
BIMP13517,
BIMP21760,
BIMP14984,LOC110119919
BIMP19548,LOC100646469
BIMP17305,LOC100642992
BIMP13727,LOC105666659
BIMP24125,LOC100644650
BIMP16143,
BIMP21696,
BIMP13168,LOC100642361
BIMP15456,LOC100645611
BIMP25561,
BIMP11025,
BIMP14171,LOC100650488
BIMP10468,LOC100643142
BIMP20815,LOC100649018
BIMP18193,
BIMP21378,
BIMP18709,
BIMP20253,LOC100642628
BIMP20036,LOC100649345
BIMP25767,LOC100645571
BIMP11675,
BIMP22242,LOC100650428
BIMP10558,LOC100642242
BIMP11622,LOC100647929
BIMP17491,
BIMP14561,
BIMP17839,LOC105667040
BIMP12402,LOC105665768
BIMP18449,LOC100643008
BIMP23027,LOC100647297
BIMP17806,LOC100645368
BIMP20795,
BIMP24639,
BIMP19505,
BIMP18741,LOC100645792
BIMP13616,LOC100647460
BIMP24746,LOC100645004
BIMP11044,LOC100647222
BIMP23830,LOC100646982
BIMP18768,
BIMP18441,LOC100648603
BIMP15280,LOC100650305
BIMP13265,LOC100649507
BIMP12803,
BIMP21928,
BIMP25100,LOC105667031
BIMP22887,LOC100646511
BIMP22475,
BIMP16072,LOC100645183
BIMP12696,LOC100648083
BIMP18333,LOC100651456
BIMP13349,LOC110120273
BIMP18289,
BIMP17642,LOC100652141
BIMP21480,LOC100645028
BIMP20237,LOC100647055
BIMP25365,LOC100647736
BIMP20751,LOC105666728
BIMP15794,
BIMP20207,
BIMP17248,LOC100649958
BIMP10295,LOC100647474
BIMP20135,LOC100651062
BIMP12810,LOC105666510
BIMP20621,LOC100649388
BIMP23197,LOC100649413
BIMP11054,
BIMP23336,
BIMP17582,
BIMP13872,LOC100648852
BIMP25813,LOC100645555
BIMP21195,LOC100652009
BIMP25285,LOC100649506
BIMP24896,
BIMP12918,
BIMP18494,LOC100642701
BIMP16162,LOC100648022
BIMP15709,LOC100643628
BIMP23056,LOC100649996
BIMP18158,
BIMP19072,LOC100647725
BIMP15286,LOC100643867
BIMP10668,LOC100646066
BIMP21226,LOC100648600
BIMP22813,
BIMP16483,LOC100650743
BIMP12246,
BIMP15029,LOC100643704
BIMP11897,
BIMP14794,
BIMP11740,LOC100648987
BIMP20159,LOC110120273
BIMP23953,LOC100646895
BIMP14292,
BIMP12532,LOC100650597
BIMP11921,LOC100651366
BIMP18584,
BIMP15720,LOC100650302
BIMP16492,LOC100649117
BIMP13069,LOC100645517
BIMP22729,LOC100647024
BIMP19372,LOC100644497
BIMP11585,LOC100651204
BIMP17970,LOC100647994
BIMP23751,LOC110119492
BIMP24123,LOC100645018
BIMP22603,
BIMP21461,LOC100647479
BIMP13534,LOC100644159
BIMP12090,LOC105666434
BIMP13076,LOC100647766
BIMP16338,LOC100649638
BIMP17678,LOC110119979
BIMP15175,
BIMP17299,LOC100643237
BIMP25616,LOC100647010
BIMP17032,LOC100643313
BIMP21429,LOC100650867
BIMP10643,LOC100642813
BIMP12307,LOC100643288
BIMP23178,
BIMP14616,LOC100651627
BIMP14696,
BIMP12555,
BIMP18625,
BIMP13326,
BIMP17710,LOC100652134
BIMP10583,LOC100650985
BIMP22173,LOC100644747
BIMP12509,LOC100652120
BIMP14236,
BIMP17961,LOC100648113
BIMP11311,LOC100650797
BIMP13178,
BIMP16452,
BIMP11444,
BIMP10949,
BIMP11215,LOC100647804
BIMP11007,
BIMP23060,LOC100649091
BIMP22187,LOC100647953
BIMP21490,LOC100648723
BIMP24240,LOC100647609
BIMP16533,
BIMP12327,LOC100650775
BIMP18174,LOC100650469
BIMP12569,
BIMP21454,LOC100648463
BIMP18658,LOC105667040
BIMP13878,LOC100649527
BIMP22997,LOC105665897
BIMP12384,LOC100647062
BIMP22456,LOC100647731
BIMP25708,LOC100649967
BIMP21452,LOC100649004
BIMP21981,
BIMP13746,
BIMP20887,LOC100642535
BIMP20775,LOC100647057
BIMP10169,
BIMP16063,LOC100646857
BIMP16211,LOC100646416
BIMP13306,LOC100649813
BIMP19054,LOC100649058
BIMP19054,LOC100649533
BIMP25593,
BIMP24867,LOC105666394
BIMP19747,
BIMP23340,
BIMP12396,
BIMP10729,LOC100649738
BIMP21668,
BIMP24732,LOC110120203
BIMP11414,
BIMP23635,LOC100643083
BIMP11961,LOC100648627
BIMP20538,
BIMP20862,
BIMP22161,LOC100642358
BIMP24113,LOC100646104
BIMP23866,
BIMP21079,
BIMP11347,LOC110120265
BIMP22862,
BIMP14468,LOC105666292
BIMP14572,
BIMP11809,
BIMP19786,LOC100645717
BIMP11667,LOC100650868
BIMP23109,LOC100643511
BIMP15945,LOC100650257
BIMP13081,LOC100648239
BIMP16126,LOC100644805
BIMP19544,LOC105665960
BIMP19558,LOC100645797
BIMP12112,LOC100645422
BIMP11250,LOC100651944
BIMP20042,LOC100649225
BIMP11142,LOC100649150
BIMP22785,
BIMP14044,
BIMP16319,
BIMP19419,LOC105666599
BIMP15351,LOC100643637
BIMP20619,LOC100649510
BIMP11758,
BIMP16367,
BIMP21664,LOC105666696
BIMP11293,
BIMP19474,LOC100648883
BIMP20721,LOC100646059
BIMP14963,LOC100649310
BIMP13072,LOC100646580
BIMP20579,LOC100647003
BIMP10110,
BIMP13937,LOC100642836
BIMP12651,
BIMP22001,
BIMP19432,LOC100651936
BIMP19409,
BIMP15178,
BIMP24750,LOC100646142
BIMP24672,
BIMP11645,LOC100646208
BIMP13219,
BIMP19446,
BIMP17674,LOC100644946
BIMP10600,LOC100651059
BIMP11670,LOC100652024
BIMP20517,LOC100643680
BIMP24859,LOC100651016
BIMP18412,
BIMP16723,LOC105666710
BIMP10857,LOC100644926
BIMP18579,LOC100645997
BIMP12599,
BIMP10098,
BIMP16650,
BIMP25850,LOC100643112
BIMP18497,LOC100652250
BIMP13276,LOC100642288
BIMP22012,
BIMP10557,
BIMP16965,LOC100642396
BIMP24842,LOC100647041
BIMP25794,
BIMP25018,
BIMP12946,
BIMP24245,
BIMP21961,
BIMP18756,
BIMP24515,
BIMP11679,
BIMP20192,
BIMP20757,
BIMP18590,
BIMP11394,LOC105665717
BIMP23440,LOC100644033
BIMP20694,
BIMP12889,LOC110120265
BIMP14726,LOC110120265
BIMP24793,LOC100650446
BIMP13466,LOC100642551
BIMP16218,
BIMP22608,LOC100650281
BIMP15866,LOC100644410
BIMP14347,LOC100649906
BIMP24247,LOC100647372
BIMP11502,LOC100644939
BIMP15891,LOC100651492
BIMP20556,LOC105667177
BIMP15500,
BIMP10095,LOC110120033
BIMP12437,LOC100648018
BIMP17968,LOC100646077
BIMP23045,LOC100642636
BIMP20117,LOC110120273
BIMP23195,LOC100649656
BIMP21681,LOC100645535
BIMP25257,LOC100643794
BIMP16242,
BIMP11433,
BIMP14943,
BIMP25656,LOC100650311
BIMP14094,
BIMP19979,LOC100643392
BIMP10820,
BIMP21993,
BIMP11524,
BIMP22842,LOC100651337
BIMP20518,LOC100644594
BIMP18593,
BIMP19039,
BIMP10297,LOC100645533
BIMP15779,
BIMP11066,LOC100643212
BIMP12071,LOC100648454
BIMP12628,
BIMP24768,LOC110120269
BIMP10656,LOC100647812
BIMP10849,
BIMP10412,LOC100642324
BIMP20655,LOC110120182
BIMP10962,LOC100650146
BIMP24302,LOC105666970
BIMP24302,LOC105666973
BIMP10269,LOC105666332
BIMP18470,LOC100648647
BIMP18777,LOC100647950
BIMP18365,LOC100648291
BIMP16719,LOC100648499
BIMP19849,LOC100648835
BIMP25703,LOC100649303
BIMP10244,
BIMP23022,LOC100648475
BIMP25373,LOC100648903
BIMP21780,
BIMP12541,
BIMP15381,
BIMP13204,
BIMP11018,LOC100647389
BIMP17374,
BIMP11982,LOC100643658
BIMP15312,LOC100651711
BIMP14285,LOC100642475
BIMP20225,
BIMP23012,LOC100651880
BIMP10731,
BIMP22391,LOC105666934
BIMP24810,LOC100652210
BIMP11212,
BIMP13595,
BIMP21380,
BIMP19257,LOC100651012
BIMP25380,
BIMP20839,LOC100651805
BIMP16413,LOC100650475
BIMP19048,
BIMP17669,LOC100646564
BIMP20768,LOC100646698
